"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/11 1:32:46 PM UTC+1","Homme","16 à 29 ans","50730","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Non","Site web;Vidéo"
"2020/10/11 1:41:11 PM UTC+1","Femme","16 à 29 ans","56380","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/11 1:46:00 PM UTC+1","Homme","16 à 29 ans","64100","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/11 1:49:41 PM UTC+1","Femme","16 à 29 ans","64100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/11 1:51:25 PM UTC+1","Femme","16 à 29 ans","22600","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/11 1:51:36 PM UTC+1","Homme","16 à 29 ans","22600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations techniques (instruments de mesure, etc.)","Exposition;Vidéo"
"2020/10/11 1:54:07 PM UTC+1","Femme","16 à 29 ans","29200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Stand;Vidéo"
"2020/10/11 1:56:53 PM UTC+1","Femme","50 à 64 ans","29560","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Vidéo"
"2020/10/11 1:57:07 PM UTC+1","Homme","16 à 29 ans","35310","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Dépliant;Exposition;Vidéo"
"2020/10/11 1:57:15 PM UTC+1","Homme","16 à 29 ans","22150","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Vidéo"
"2020/10/11 2:04:22 PM UTC+1","Homme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition"
"2020/10/11 2:21:18 PM UTC+1","Femme","16 à 29 ans","56270","Non","Oui, elle se déplace","Activités humaines","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/11 2:47:05 PM UTC+1","Femme","30 à 49 ans","56890","Non","Oui, elle se déplace","Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Non","Application sur smartphone"
"2020/10/11 2:50:21 PM UTC+1","Homme","16 à 29 ans","79370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/11 2:53:08 PM UTC+1","Femme","16 à 29 ans","56340","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Oui","Non","Oui, informations générales","Site web;Exposition"
"2020/10/11 2:53:55 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 2:54:18 PM UTC+1","Femme","16 à 29 ans","38460","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Exposition"
"2020/10/11 2:54:34 PM UTC+1","Homme","16 à 29 ans","79000","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/11 3:05:45 PM UTC+1","Femme","50 à 64 ans","74960","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","Application sur smartphone;Site web"
"2020/10/11 3:17:53 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/11 3:20:33 PM UTC+1","Femme","16 à 29 ans","35140","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/11 3:28:07 PM UTC+1","Homme","16 à 29 ans","56700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Je ne sais pas","Non","Oui","Oui, informations générales","Site web;Journaux papier, journaux en ligne"
"2020/10/11 3:32:05 PM UTC+1","Homme","16 à 29 ans","29300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 3:34:01 PM UTC+1","Femme","16 à 29 ans","56700","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone"
"2020/10/11 3:42:46 PM UTC+1","Homme","16 à 29 ans","56390","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Non","Oui","Oui","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/11 3:46:03 PM UTC+1","Homme","16 à 29 ans","29200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/11 3:52:42 PM UTC+1","Femme","16 à 29 ans","56800","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Dépliant;Exposition"
"2020/10/11 3:56:37 PM UTC+1","Femme","16 à 29 ans","56400","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/11 3:57:31 PM UTC+1","Femme","50 à 64 ans","56450","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Oui","Non","Non","Non","Non","Site web"
"2020/10/11 3:57:52 PM UTC+1","Femme","30 à 49 ans","79370","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/11 3:58:18 PM UTC+1","Homme","16 à 29 ans","19300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 4:00:02 PM UTC+1","Homme","30 à 49 ans","35290","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/11 4:05:03 PM UTC+1","Femme","16 à 29 ans","5370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Exposition;Vidéo"
"2020/10/11 4:07:12 PM UTC+1","Homme","16 à 29 ans","93330","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/11 4:30:55 PM UTC+1","Femme","16 à 29 ans","56850","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/11 4:42:01 PM UTC+1","Femme","16 à 29 ans","14000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/11 4:44:46 PM UTC+1","Femme","16 à 29 ans","74000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/11 4:46:17 PM UTC+1","Femme","30 à 49 ans","83400","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Site web"
"2020/10/11 4:54:06 PM UTC+1","Homme","> 65 ans","56250","Non","Oui, elle se déplace","Phénomènes naturels","Oui","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Vidéo"
